"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"113175987-113175987",114.5,6.83920378809694,0.190613543939494,35.8799466540944,6.27745784349116e-282,8.24230214850389e-279
"112925987-112925987",110.5,6.78790255939143,0.192463713163097,35.2684796933085,1.78734634075765e-272,1.1733928727074e-269
"113030987-113030987",102.5,6.67948009950545,0.197941805676949,33.7446658964337,1.28012783216261e-249,5.60269281209834e-247
"113190987-113190987",103,6.68650052718322,0.198261085868869,33.7257334079453,2.42592148902995e-249,7.96308728774082e-247
"113195987-113195987",101.5,6.66533591718518,0.197946893070854,33.6723442019338,1.4686928636711e-248,3.85678746000031e-246
"113165987-113165987",102.5,6.67948009950545,0.202991574603787,32.9052085661335,1.85141069653995e-237,4.05150374092825e-235
"113090987-113090987",95,6.56985560833095,0.201886856728691,32.5422650824662,2.69381955556107e-232,5.05283582350241e-230
"112760987-112760987",95,6.56985560833095,0.202074015128108,32.5121248477489,7.18691678393189e-232,1.17955271716282e-229
"112885987-112885987",96.5,6.59245703726808,0.204014215643419,32.3137141030923,4.48926162195383e-229,6.54933389958376e-227
"113060987-113060987",92,6.52356195605701,0.203902339444964,31.9935611029014,1.34015356417376e-224,1.75962162976015e-222
"112750987-112750987",92,6.52356195605701,0.204489894350144,31.9016349281635,2.53423391459932e-223,3.02495375442628e-221
"112795987-112795987",91.5,6.51569983828404,0.204476711853858,31.8652416659599,8.09602281458968e-223,8.85839829629687e-221
"112810987-112810987",93.5,6.54689445988764,0.205545051468525,31.8513844683348,1.2594673432613e-222,1.27206201669391e-220
"113075987-113075987",91.5,6.51569983828404,0.205029182931514,31.7793776725945,1.24768054324182e-221,1.17014610948322e-219
"113065987-113065987",90.5,6.49984588708321,0.205064813120172,31.6965440739663,1.73373050527938e-220,1.51759210228788e-218
"113115987-113115987",92.5,6.53138146051631,0.206999472790261,31.5526478037659,1.64922875273977e-218,1.35339834521708e-216
"112835987-112835987",89.5,6.48381577726426,0.205744597837955,31.513905324362,5.6024905347104e-218,4.32710004239691e-216
"112880987-112880987",89.5,6.48381577726426,0.205826096756008,31.5014270758404,8.30424617224849e-218,6.0574862356457e-216
"113160987-113160987",93.5,6.54689445988764,0.207853569337137,31.4976282618877,9.36096303375874e-218,6.46891813859222e-216
"113145987-113145987",90,6.49185309632967,0.207330723997828,31.3115826306462,3.24590679168767e-215,2.13093780874295e-213
"112745987-112745987",91.5,6.51569983828404,0.208600776368351,31.2352616884729,3.53977151777187e-214,2.21320000134974e-212
"112855987-112855987",87.5,6.45121111183233,0.207564549921355,31.0805053862842,4.41817850834486e-212,2.63684926429855e-210
"112790987-112790987",90.5,6.49984588708321,0.209414852331827,31.0381322752787,1.64968412615868e-211,9.41754459846235e-210
"113125987-113125987",92,6.52356195605701,0.210441385644749,30.9994250231254,5.48754403158057e-211,3.00214388061054e-209
"112800987-112800987",86.5,6.43462822763672,0.208206168021907,30.9050797522948,1.02076363959648e-209,5.15485637996223e-208
"112970987-112970987",86.5,6.43462822763672,0.208206168021907,30.9050797522948,1.02076363959648e-209,5.15485637996223e-208
"113180987-113180987",86,6.4262647547021,0.208563644962432,30.812008276225,1.80945542559648e-208,8.79931471780805e-207
"112755987-112755987",86,6.4262647547021,0.208692992622379,30.7929110314219,3.26052013598758e-208,1.52895104948275e-206
"112950987-112950987",86,6.4262647547021,0.20921017875637,30.7167882217893,3.39708308492795e-207,1.53805865190014e-205
"112965987-112965987",85.5,6.4178525148859,0.20894634043106,30.7153142842595,3.55458589994539e-207,1.55572376220943e-205
"113040987-113040987",86.5,6.43462822763672,0.20991486261426,30.6535142271513,2.37254170917981e-206,1.00488621424293e-204
"113070987-113070987",85,6.4093909361377,0.209354851885623,30.6149624831211,7.73860108158401e-206,3.17524475628744e-204
"112845987-112845987",85,6.4093909361377,0.209398692509004,30.608552801074,9.41817664354118e-206,3.74729270696048e-204
"112900987-112900987",88,6.4594316186373,0.211097084289262,30.5993407743429,1.24892247421105e-205,4.82304473129148e-204
"113135987-113135987",85.5,6.4178525148859,0.209815463512226,30.5880815810886,1.76316220863286e-205,6.61437708552841e-204
"113185987-113185987",86,6.4262647547021,0.210630730230562,30.5096257686034,1.94220064587788e-204,7.08363735566017e-203
"113105987-113105987",84.5,6.40087943628218,0.209878205268784,30.4980663813319,2.76435018289094e-204,9.80970754090757e-203
"112870987-112870987",84.5,6.40087943628218,0.210055006828187,30.4723964114683,6.05086239823103e-204,2.09073219180983e-202
"113155987-113155987",86,6.4262647547021,0.211275599744068,30.4165022486585,3.32381999042105e-203,1.11901939677509e-201
"112910987-112910987",84,6.39231742277876,0.210251787252681,30.4031537914893,4.99020512288636e-203,1.63803483158745e-201
"112840987-112840987",89,6.4757334309664,0.213037752330991,30.39711675565,5.99665539863336e-203,1.92039232644039e-201
"112915987-112915987",85,6.4093909361377,0.210931718957484,30.3860935084381,8.38612020455403e-203,2.62166091156653e-201
"112740987-112740987",84.5,6.40087943628218,0.210673538567125,30.3829302902355,9.23309863556716e-203,2.69401300188882e-201
"112940987-112940987",84,6.39231742277876,0.210385519332333,30.383827951016,8.98441362941264e-203,2.69401300188882e-201
"113095987-113095987",84.5,6.40087943628218,0.210673538567125,30.3829302902355,9.23309863556716e-203,2.69401300188882e-201
"112860987-112860987",86.5,6.43462822763672,0.211996217120056,30.3525615459105,2.32434388686336e-202,6.63448592054694e-201
"112890987-112890987",83.5,6.38370429247405,0.210921292229906,30.2658125454482,3.23167418971894e-201,9.02806002361907e-200
"112850987-112850987",85.5,6.4178525148859,0.212070919695315,30.2627655130959,3.5442162796276e-201,9.69490828156466e-200
"113085987-113085987",86,6.4262647547021,0.212853488533834,30.1910238773494,3.10690515870568e-200,8.32523770077665e-199
"112825987-112825987",84.5,6.40087943628218,0.212967143968814,30.0557133696619,1.8384949228665e-198,4.82788766744744e-197
"113045987-113045987",83,6.37503943134692,0.212211164360841,30.0410181082975,2.86052113872295e-198,7.36443971596712e-197
"112780987-112780987",82.5,6.36632221424582,0.212446552153257,29.9667005640703,2.66633090988564e-197,6.73248554746125e-196
"112905987-112905987",83.5,6.38370429247405,0.213883232246047,29.8466795430245,9.69445413947732e-196,2.40166382738372e-194
"112985987-112985987",81.5,6.34872815423108,0.21299075658589,29.8075290026538,3.12060155502433e-195,7.58768489212398e-194
"112995987-112995987",81,6.33985000288462,0.212878452350074,29.7815487330717,6.77314798058722e-195,1.61693514518382e-193
"113035987-113035987",81,6.33985000288462,0.213066192526421,29.7553071545992,1.48057564128643e-194,3.47142110180193e-193
"113050987-113050987",80.5,6.33091687811462,0.213352991398723,29.6734385424348,1.69091417372217e-193,3.8950356317495e-192
"113080987-113080987",80.5,6.33091687811462,0.213637069326931,29.6339811160129,5.45567300280902e-193,1.2350514918428e-191
"112955987-112955987",79.5,6.31288295528436,0.214390758289112,29.4456860251935,1.4297021316327e-190,3.18169304887074e-189
"112820987-112820987",83.5,6.38370429247405,0.217647443930994,29.3304813379662,4.23946513371276e-189,9.27736286760809e-188
"112770987-112770987",81,6.33985000288462,0.216674249116676,29.2598221926718,3.3676958695096e-188,7.24882733879688e-187
"113055987-113055987",78.5,6.29462074889163,0.215551758535284,29.2023632359337,1.80975756926121e-187,3.83259949748382e-186
"112875987-112875987",87.5,6.45121111183233,0.222209084640885,29.0321663592567,2.58447338256994e-185,5.38637071637195e-184
"112815987-112815987",77.5,6.27612440527424,0.21654254593963,28.9833315575036,1.06737661336858e-184,2.18978983336397e-183
"113025987-113025987",78,6.28540221886225,0.216972266583323,28.9686894912374,1.63227812421219e-184,3.29720181090862e-183
"112935987-112935987",77.5,6.27612440527424,0.217241847246622,28.8900342398088,1.59289037976812e-183,3.1688864676296e-182
"112765987-112765987",76.5,6.25738784269265,0.217353119636865,28.7890408619253,2.94191572273391e-182,5.6804931528671e-181
"113000987-113000987",76.5,6.25738784269265,0.217353119636865,28.7890408619253,2.94191572273391e-182,5.6804931528671e-181
"113010987-113010987",75,6.22881869049588,0.219267463013943,28.407400737335,1.63832881857228e-177,3.1175735344716e-176
"113020987-113020987",75.5,6.23840473932508,0.220460777822531,28.2971184305035,3.74988177281122e-176,7.03370681100162e-175
"112895987-112895987",78,6.28540221886225,0.222853594862307,28.2041769294579,5.1969843212004e-175,9.47727835241129e-174
"113015987-113015987",78,6.28540221886225,0.222853594862307,28.2041769294579,5.1969843212004e-175,9.47727835241129e-174
"112960987-112960987",75,6.22881869049588,0.222144227935602,28.0395252596956,5.3605056702673e-173,9.64156704802872e-172
"112980987-112980987",73.5,6.19967234483636,0.221501837453981,27.9892592138176,2.19555682884647e-172,3.89562988685867e-171
"113120987-113120987",72.5,6.17990909001493,0.22219376643914,27.81315240771,3.00763320247329e-170,5.26536319312991e-169
"113130987-113130987",74,6.20945336562895,0.223278942939195,27.8102954263804,3.25669701388836e-170,5.62637260425713e-169
"113100987-113100987",72.5,6.17990909001493,0.224609400327252,27.5140269330265,1.19301351528344e-166,2.03432044878851e-165
"112990987-112990987",73.5,6.19967234483636,0.226362511379643,27.3882468746718,3.78585922592584e-165,6.2921938780261e-164
"113140987-113140987",73.5,6.19967234483636,0.226362511379643,27.3882468746718,3.78585922592584e-165,6.2921938780261e-164
"112945987-112945987",69.5,6.11894107272351,0.225385956282591,27.1487237876149,2.62140344996723e-162,4.30237841225872e-161
"112830987-112830987",70.5,6.13955135239879,0.227039210591626,27.0418106916429,4.76786590808645e-161,7.72865177446606e-160
"112975987-112975987",75,6.22881869049588,0.230514178099097,27.0214124869063,8.2816954159078e-161,1.32608122940085e-159
"113005987-113005987",67,6.06608919045777,0.231162891235991,26.2416219057625,8.90834918811769e-152,1.40923644385524e-150
"112865987-112865987",63,5.97727992349992,0.239082615668193,25.0008973123976,5.97756333154693e-138,9.34350077895372e-137
"112785987-112785987",76.5,6.25738784269265,0.254242852768993,24.6118534878861,9.43166619853385e-134,1.45691502572646e-132
"112775987-112775987",81.5,6.34872815423108,0.274052101672986,23.1661356197397,9.9978358558769e-119,1.52641377660074e-117
"113185987-113190987",54,5.75488750216347,0.248594267035348,23.1497193028396,1.46324665650211e-118,2.18323052271281e-117
"113190987-113185987",54,5.75488750216347,0.248594267035348,23.1497193028396,1.46324665650211e-118,2.18323052271281e-117
"112920987-112920987",82,6.35755200461808,0.281045454815867,22.6210810232935,2.68812466981901e-113,3.96573897918243e-112
"113170987-113170987",91.5,6.51569983828404,0.291166554983126,22.377913008112,6.45979236733891e-111,9.42411930923998e-110
