"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"113125987-113125987",94,6.55458885167764,0.213491858889945,30.701821070641,5.38186142962903e-207,9.70349615762114e-204
"113195987-113195987",95,6.56985560833095,0.214262983971115,30.662578699159,1.79636969048314e-206,1.61942727597055e-203
"113185987-113185987",92.5,6.53138146051631,0.215273710046224,30.3398936131768,3.41534432337578e-202,2.05262193834884e-199
"113175987-113175987",95.5,6.57742882803575,0.218131034788978,30.1535672555664,9.63129873636319e-200,4.34130790541571e-197
"113065987-113065987",87.5,6.45121111183233,0.220097993185984,29.3106312258878,7.59225675095475e-189,2.2814731536619e-186
"113095987-113095987",87.5,6.45121111183233,0.220097993185984,29.3106312258878,7.59225675095475e-189,2.2814731536619e-186
"112910987-112910987",82.5,6.36632221424582,0.226215237774664,28.1427647265185,2.93839250605393e-174,7.5684595548789e-172
"113180987-113180987",81.5,6.34872815423108,0.227793444755104,27.8705480794519,6.07195511957103e-171,1.36846688507332e-168
"113160987-113160987",80.5,6.33091687811462,0.229112687184775,27.6323278117237,4.55143386910218e-168,9.1180391844347e-166
"112925987-112925987",81.5,6.34872815423108,0.230187138331627,27.5807249711953,1.8951476641314e-167,3.41695123842891e-165
"113120987-113120987",79.5,6.31288295528436,0.230257316516965,27.4166443471915,1.73686037883539e-165,2.84687205730929e-163
"112955987-112955987",79,6.3037807481771,0.230823702998043,27.3099368318797,3.2324878621773e-164,4.8568130129214e-162
"112780987-112780987",79,6.3037807481771,0.231276501896533,27.2564687570259,1.39291939176653e-163,1.93187204873466e-161
"112790987-112790987",79.5,6.31288295528436,0.232246826474461,27.1817834978191,1.06654101961571e-162,1.37355247026223e-160
"112915987-112915987",78.5,6.29462074889163,0.231826205853258,27.1523261389871,2.37683979532283e-162,2.7886782385995e-160
"113050987-113050987",81.5,6.34872815423108,0.233831721432528,27.1508421326958,2.47470059997737e-162,2.7886782385995e-160
"112900987-112900987",79,6.3037807481771,0.232632118314934,27.0976372215428,1.04983532521692e-161,1.11344299492124e-159
"112815987-112815987",77,6.2667865406949,0.233655736876746,26.8205977925577,1.85867681097439e-158,1.86177460565935e-156
"112840987-112840987",81.5,6.34872815423108,0.237451387932459,26.7369595499561,1.75089028267859e-157,1.66150272614184e-155
"113145987-113145987",76.5,6.25738784269265,0.234328477634232,26.7034886492111,4.2875844914257e-157,3.86525741902027e-155
"113155987-113155987",76.5,6.25738784269265,0.234434100171911,26.6914575912979,5.91429175021559e-157,5.07784191697082e-155
